name,fastpass_booth,created_at,updated_at,short_name,open_emh_morning,open_emh_evening,single_rider,time_zone,seasonal,open_very_merry,open_not_so_scary,category_code,duration,scheduled_code,what_it_is,scope_and_scale_code,when_to_go,average_wait_per_hundred,average_wait_assumes,loading_speed,probable_wait_time,special_needs,height_restriction,intense,extinct_on,opened_on,frightening,physical_considerations,handheld_captioning,video_captioning,reflective_captioning,assistive_listening,audio_description,wheelchair_transfer_code,no_service_animals,sign_language,service_animal_check,not_to_be_missed,rider_swap,ultimate_code,ultimate_task,park_entrance,relative_open,relative_close,close_at_dusk,crowd_calendar_version,match_name,crazy_threshold,fastpass_only,allow_showtimes_after_close,disconnected_fastpass_booth,arrive_before,arrive_before_fp,allow_time_restriction,relative_open_to_sunset,relative_close_to_sunset,closing_round_code,walking_time_proxy_id,flexible_duration,operator_id,operator_type,hide_app,showtime_proxy_id,sort_name,extinct_on_uncertain,opened_on_uncertain,opened_on_known,ignore_scrapes,extra_cost,climate_controlled,wet,operational_notes,masthead_circle_x,masthead_circle_y,latitude,longitude,open_early,themeparks_id,has_virtual_queue,relative_open_base,virtual_queue_only,fastpass_average_minutes_saved,fastpass_average_gone_at
Meet Dashing Disney Pals as Circus Stars at Pete’s Silly Side Show,False,2012-06-04T21:24:02.000-04:00,2021-11-04T00:05:05.000-04:00,Pete's: Pluto/Daisy,False,False,False,Eastern Time (US & Canada),False,False,False,character_greeting,3.0,0,Character greeting area,minor_attraction,Before 11:30 a.m. or during the last 2 hours before closing.,0.0,0,0,25 minutes,0,0,False,0,2012-10-04,False,False,False,False,False,False,False,may_remain_in_wheelchair,False,False,False,False,False,core,Photo and autograph with 1 character here or from Goofy/Donald queue as core. Other queue counts as a bonus.,False,0,0,0,4,MT-TXNK-TSN-PLS-AS-SRKS-STRS-AT-PT-S-SL-ST-X,150,False,False,False,0,0,False,0,0,0,0,False,15743682,Entertainment,True,0,meet dashing disney pals as circus stars at petes silly side show,0,0,0,False,False,True,False,0,654,188,28.421282,-81.578932,False,b5d6d1d1-e960-4c8f-a8a4-b9748b386b64,False,0,False,0,0
Meet Mickey at Town Square Theater,False,2011-03-29T12:20:37.000-04:00,2023-01-15T22:03:40.000-05:00,Town Sq Mickey,False,False,False,Eastern Time (US & Canada),False,True,True,character_greeting,3.0,0,Mickey Meet-and-Greet,minor_attraction,0,0.0,0,0,0,0,0,False,0,2011-04-01,False,False,False,False,False,False,False,0,False,False,False,False,False,bonus_and_core,"Autograph and photo with 1 character. If Mickey is used as core, Tinker Bell may be used as bonus.",False,0,30,0,4,MT-MK-AT-TN-SKR-0TR,150,False,False,False,0,0,False,0,0,0,0,False,15850196,Entertainment,False,0,meet mickey at town square theater,0,0,0,False,False,True,False,0,1650,186,28.416727,-81.580746,False,a2d92647-634d-4eb4-886b-9da858e871f1,False,0,False,29,2000-01-01T18:00:00.000Z
Meet Princess Tiana and a Visiting Princess at Princess Fairytale Hall,False,2016-10-14T09:59:11.000-04:00,2023-01-15T22:03:40.000-05:00,Princess Hall: Tiana,False,False,False,Eastern Time (US & Canada),False,True,True,character_greeting,10.0,0,Princess Meet-and-Greet,minor_attraction,"Before 10:30 a.m., during parades, or in the evening just before the park closes.",0.0,0,0,0,0,0,False,0,2016-11-24,False,False,False,False,False,False,False,0,False,False,False,False,False,core,Photo and autograph with 1 character here or from Elena queue as core. Other queue counts as a bonus.,False,0,30,0,4,MT-PRNSS-XN-FSTNK-PRNSS-AT-PRNSS-FRTL-HL,150,False,False,False,0,0,False,0,0,0,1207,False,17505397,Entertainment,False,0,meet princess tiana and a visiting princess at princess fairytale hall,0,0,0,False,False,True,False,0,1200,105,28.42004575,-81.58091744,False,cf4b2ba4-3626-4de7-9d07-abe8a65b1665,False,0,False,20,2000-01-01T18:00:00.000Z
Meet Tinker Bell at Town Square Theater,False,2014-03-26T23:36:37.000-04:00,2021-11-10T23:27:32.000-05:00,Town Sq Tink,False,False,False,Eastern Time (US & Canada),False,False,False,character_greeting,3.0,0,Tinker Bell Meet-and-Greet,minor_attraction,0,0.0,0,0,0,0,0,False,0,2014-05-20,False,False,False,False,False,False,False,may_remain_in_wheelchair,False,False,False,False,False,bonus_and_core,"Autograph and photo with 1 character. If used as core, Mickey may be used as bonus.",False,0,30,0,4,MT-TNKR-BL-AT-TN-SKR-0TR,150,False,False,False,0,0,False,0,0,0,0,False,17752793,Entertainment,False,0,meet tinker bell at town square theater,0,0,0,False,False,True,False,0,1042,61,28.416727,-81.580815,False,d7be7f21-4077-4172-b22d-875d26191126,False,0,False,0,0
Mickey's PhilharMagic,False,2009-07-13T16:14:04.000-07:00,2023-01-21T17:58:44.000-08:00,PhilharMagic,True,True,False,Eastern Time (US & Canada),False,False,False,continuous_show,12.0,0,3-D movie,major_attraction,"Before 11 a.m., during parades, or use Lightning Lane",0.0,0,0,0,0,0,False,0,2003-10-08,False,False,False,False,True,True,True,may_remain_in_wheelchair,False,False,False,True,False,core,View full show. Difficult to take a good photo.,False,0,0,0,4,MKS-FLHRMJK,150,False,False,False,0,0,False,0,0,0,0,False,80010170,Attraction,False,0,mickeys philharmagic,0,0,0,False,False,True,False,0,1504,36,28.42003049,-81.58148399,False,7c5e1e02-3a44-4151-9005-44066d5ba1da,False,0,False,0,2000-01-01T20:00:00.000Z
Minnie’s Wonderful Christmastime Fireworks,False,2019-06-05T10:10:14.000-04:00,2022-12-23T15:23:32.000-05:00,Minnie’s Christmastime Fireworks,False,False,False,Eastern Time (US & Canada),True,True,False,scheduled_show,15.0,fireworks,Holiday Fireworks,headliner,0,0.0,0,0,0,0,0,False,0,0,False,False,False,False,False,False,False,0,False,False,False,False,False,0,0,False,0,0,0,2,MN-S-WNTRFL-XRSTMSTM-FRWRKS,150,False,True,False,0,0,False,0,0,0,387,False,19336036,Entertainment,True,405,minnies wonderful christmastime fireworks,0,0,0,False,False,False,False,0,0,0,28.419147,-81.581205,False,0,False,0,False,0,0
"Monsters, Inc. Laugh Floor",False,2009-07-13T19:14:04.000-04:00,2023-01-15T22:03:40.000-05:00,Laugh Floor,False,True,False,Eastern Time (US & Canada),False,True,True,continuous_show,15.0,0,Interactive animated comedy routines,major_attraction,Anytime,0.0,0,0,0,0,0,False,0,2007-04-02,False,False,False,True,False,True,False,may_remain_in_wheelchair,False,True,False,False,False,core,"View full show. If you can avoid it, you do NOT need to watch the pre-show video.",False,0,0,0,4,MNSTRS-INK-LKH-FLR,150,False,False,False,0,0,False,0,0,0,0,False,136550,Attraction,False,0,monsters inc laugh floor,0,0,0,False,False,True,False,0,333,137,28.41839776,-81.57973588,False,e8f0b426-7645-4ea3-8b41-b94ae7091a41,False,0,False,5,2000-01-01T18:00:00.000Z
Peter Pan's Flight,False,2009-07-13T19:14:04.000-04:00,2023-03-21T14:22:47.000-04:00,Peter Pan's Flight,True,True,False,Eastern Time (US & Canada),False,True,True,ride,3.0,0,Indoor track ride,minor_attraction,First or last 30 minutes the park is open.,5.5,0,Moderate-slow.,0,0,0,False,0,1971-10-01,False,False,True,False,False,False,True,must_be_ambulatory,True,False,False,True,False,core,Ride.,False,0,0,0,4,PTR-PNS-FLT,150,False,False,False,0,0,False,0,0,0,0,False,80010176,Attraction,False,0,peter pans flight,0,0,0,False,False,True,False,0,934,112,28.42026403,-81.58189168,False,86a41273-5f15-4b54-93b6-829f140e5161,False,0,False,38,2000-01-01T17:00:00.000Z
A Pirate's Adventure ~ Treasures of the Seven Seas,False,2013-06-18T22:12:12.000-04:00,2021-11-11T00:02:25.000-05:00,Pirate's Adventure,False,False,False,Eastern Time (US & Canada),False,True,True,walkthrough,15.0,0,Interactive pirate game,diversion,"Anytime, but after dark is better for the effects",0.0,0,0,0,0,0,False,0,2013-05-31,False,False,False,False,False,False,False,may_remain_in_wheelchair,False,False,False,True,False,bonus_and_core,Start and complete 1 full mission as core. Each additional unique full mission counts as bonus. Maximum of 1 core and 5 bonus (finale counts as a bonus mission). Take photo completing last step of each mission.,False,0,0,0,2,PRTS-ATFNTR-TRSRS-SFN-SS,150,False,False,False,0,0,False,0,0,0,0,True,17272158,Attraction,True,0,pirates adventure  treasures of the seven seas,0,0,0,False,False,False,False,0,0,0,28.41837254,-81.58466913,False,de737ffc-306b-4f32-8bbb-34e5d370ec8f,False,0,False,0,0
Pirates of the Caribbean,False,2009-07-13T16:14:04.000-07:00,2023-01-15T19:03:41.000-08:00,Pirates of Caribbean,False,True,False,Eastern Time (US & Canada),False,True,True,ride,7.5,0,Indoor pirate-themed boat ride,headliner,Before noon or after 5 p.m.,1.5,both waiting lines operating,Fast,0,0,0,False,0,1973-12-17,False,True,True,False,False,False,True,must_transfer_to_wheelchair_then_ride_vehicle,False,False,False,True,False,core,Ride. Difficult to take a good photo.,False,0,0,0,4,PRTS-KRBN,150,False,False,False,0,0,False,0,0,0,0,False,80010177,Attraction,False,0,pirates of the caribbean,0,0,0,False,False,True,False,0,0,0,28.41796992,-81.5842252,False,352feb94-e52e-45eb-9c92-e4b44c6b1a9d,False,0,False,16,2000-01-01T20:00:00.000Z
Prince Charming Regal Carrousel,False,2009-07-13T19:14:03.000-04:00,2021-11-15T12:54:25.000-05:00,Regal Carrousel,True,True,False,Eastern Time (US & Canada),False,True,True,ride,2.0,0,Merry-go-round,minor_attraction,Anytime,5.0,0,Slow,0,0,0,False,0,1971-10-01,False,False,False,False,False,False,False,must_transfer_from_wheelchair,False,False,False,False,False,core,Ride.,False,0,0,0,4,PRNS-XRMNK-RKL-KRSL,150,False,False,False,0,0,False,0,0,0,0,False,80010117,Attraction,False,0,prince charming regal carrousel,0,0,0,False,False,False,False,0,451,145,28.420169,-81.581255,False,273ddb8d-e7b5-4e34-8657-1113f49262a5,False,0,False,0,0
